committee_id,committee_total_disbursements,count,cycle,memo_count,memo_total,recipient_disbursement_percent,recipient_name,total
C00000000,,12,1976,0,0.0,,NULL,1400.0
C00000026,,15,1976,0,0.0,,NULL,3050.0
C00000042,,14,1976,0,0.0,,NULL,3650.0
C00000059,,1,1976,0,0.0,,NULL,25.0
C00000117,,15,1976,0,0.0,,NULL,36232.0
C00000372,,171,1976,0,0.0,,NULL,48450.0
C00000414,,2,1976,0,0.0,,NULL,1177.0
C00000422,,580,1976,0,0.0,,NULL,1132365.0
C00000489,,1,1976,0,0.0,,NULL,250.0
C00000547,,9,1976,0,0.0,,NULL,8500.0
C00000638,,22,1976,0,0.0,,NULL,54000.0
C00000729,,217,1976,0,0.0,,NULL,302741.0
C00000786,,4,1976,0,0.0,,NULL,4000.0
C00000810,,51,1976,0,0.0,,NULL,200000.0
C00000885,,192,1976,0,0.0,,NULL,36390.0
C00000901,,100,1976,0,0.0,,NULL,24650.0
C00000935,,2,1976,0,0.0,,NULL,2500.0
C00000943,,15,1976,0,0.0,,NULL,5100.0
C00000950,,40,1976,0,0.0,,NULL,12550.0
C00000984,,150,1976,0,0.0,,NULL,17190.0
C00001008,,5,1976,0,0.0,,NULL,19500.0
C00001016,,413,1976,0,0.0,,NULL,173176.0
C00001099,,4,1976,0,0.0,,NULL,10000.0
C00001156,,13,1976,0,0.0,,NULL,5050.0
C00001180,,37,1976,0,0.0,,NULL,20720.0
C00001198,,65,1976,0,0.0,,NULL,36950.0
C00001214,,35,1976,0,0.0,,NULL,94750.0
C00001289,,180,1976,0,0.0,,NULL,85890.0
C00001313,,4,1976,0,0.0,,NULL,8044.0
C00001339,,1,1976,0,0.0,,NULL,500.0
C00001347,,7,1976,0,0.0,,NULL,1075.0
C00001354,,12,1976,0,0.0,,NULL,23450.0
C00001388,,275,1976,0,0.0,,NULL,457035.0
C00001420,,9,1976,0,0.0,,NULL,9700.0
C00001552,,1,1976,0,0.0,,NULL,100.0
C00001594,,249,1976,0,0.0,,NULL,625939.0
C00001636,,680,1976,0,0.0,,NULL,454456.0
C00001685,,18,1976,0,0.0,,NULL,20650.0
C00001727,,208,1976,0,0.0,,NULL,304000.0
C00001743,,32,1976,0,0.0,,NULL,35465.0
C00001776,,3,1976,0,0.0,,NULL,3500.0
C00001784,,47,1976,0,0.0,,NULL,11850.0
C00001818,,1,1976,0,0.0,,NULL,100.0
C00001834,,7,1976,0,0.0,,NULL,11500.0
C00001875,,170,1976,0,0.0,,NULL,134040.0
C00001925,,16,1976,0,0.0,,NULL,5850.0
C00001966,,64,1976,0,0.0,,NULL,42574.0
C00002022,,176,1976,0,0.0,,NULL,245441.0
C00002089,,1,1976,0,0.0,,DEMOCRATIC STATE CENTRAL COMMITTEE OF LOUISIANA GENERAL FECA ACCOUNT,250.0
C00002089,,359,1976,0,0.0,,NULL,297734.0
C00002162,,229,1976,0,0.0,,NULL,55082.0
C00002196,,2,1976,0,0.0,,NULL,3238.0
C00002238,,45,1976,0,0.0,,NULL,18950.0
C00002253,,27,1976,0,0.0,,NULL,7200.0
C00002261,,143,1976,0,0.0,,NULL,53237.0
C00002295,,95,1976,0,0.0,,NULL,54940.0
C00002303,,116,1976,0,0.0,,NULL,40325.0
C00002394,,22,1976,0,0.0,,NULL,28050.0
C00002402,,3,1976,0,0.0,,NULL,4000.0
C00002428,,303,1976,0,0.0,,NULL,126664.0
C00002469,,657,1976,0,0.0,,NULL,527725.0
C00002501,,28,1976,0,0.0,,NULL,57350.0
C00002618,,21,1976,0,0.0,,NULL,9300.0
C00002667,,4,1976,0,0.0,,NULL,2800.0
C00002766,,413,1976,0,0.0,,NULL,302643.0
C00002790,,89,1976,0,0.0,,NULL,29630.0
C00002832,,59,1976,0,0.0,,NULL,67175.0
C00002840,,711,1976,0,0.0,,NULL,843707.0
C00002881,,411,1976,0,0.0,,NULL,179550.0
C00002907,,3,1976,0,0.0,,NULL,1500.0
C00002949,,6,1976,0,0.0,,NULL,3000.0
C00002956,,17,1976,0,0.0,,NULL,3800.0
C00002972,,294,1976,0,0.0,,NULL,134300.0
C00003020,,3,1976,0,0.0,,NULL,5000.0
C00003129,,3,1976,0,0.0,,NULL,900.0
C00003152,,17,1976,0,0.0,,NULL,20666.0
C00003160,,244,1976,0,0.0,,NULL,110050.0
C00003178,,13,1976,0,0.0,,NULL,5225.0
C00003194,,54,1976,0,0.0,,NULL,81300.0
C00003251,,663,1976,0,0.0,,NULL,612667.0
C00003293,,1,1976,0,0.0,,NULL,2000.0
C00003327,,3,1976,0,0.0,,AMERICAN MEDICAL POLITICAL ACTION COMMITTEE,1870.0
C00003327,,25,1976,0,0.0,,NULL,49474.0
C00003418,,59,1976,0,0.0,,NULL,76100.0
C00003459,,37,1976,0,0.0,,NULL,16650.0
C00003533,,33,1976,0,0.0,,NULL,10750.0
C00003558,,461,1976,0,0.0,,NULL,340749.0
C00003590,,316,1976,0,0.0,,NULL,445367.0
C00003632,,54,1976,0,0.0,,NULL,16400.0
C00003665,,13,1976,0,0.0,,NULL,7750.0
C00003749,,20,1976,0,0.0,,NULL,34409.0
C00003756,,44,1976,0,0.0,,NULL,5350.0
C00003764,,78,1976,0,0.0,,NULL,43250.0
C00003772,,124,1976,0,0.0,,NULL,211661.0
C00003780,,31,1976,0,0.0,,NULL,6000.0
C00003806,,4,1976,0,0.0,,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,6500.0
C00003806,,479,1976,0,0.0,,NULL,949523.0
C00003830,,9,1976,0,0.0,,NULL,925.0
C00003855,,12,1976,0,0.0,,NULL,8400.0
C00003863,,45,1976,0,0.0,,NULL,86300.0
