candidate_id,candidate_name,committee_id,committee_name,count,cycle,support_oppose_indicator,total
H4LA05064,"RISER, HARTWELL NEIL JR",C70000716,NATIONAL RIFLE ASSOCIATION INSTITUTE FOR LEGISLATIVE ACTION,1,2014,S,4183.14
S4MN00031,"GROWE, JOAN ANDERSON",C00157941,SANE PAC,1,1984,S,583.0
H2TX25178,"BELL, R CHRISTOPHER",C70003017,ASSOCIATION OF TRAIL LAWYERS OF AMERICA POLITICAL ACTION MANAGEMENT LIST,4,2002,S,514.0
H2UT02324,"STEWART, CHRIS",C70001243,NATIONAL FEDERATION OF INDEPENDENT BUSINESS,1,2012,S,427.24
H4TX24060,"HARRISON, EDWARD C",C70002878,WHOLESALER-DISTRIBUTORS PAC OF THE NATL ASSOCIATION OF WHOLESALER-DISTRIBUTORS,1,1996,S,15.0
H8AL06016,"SMITH, ALBERT LEE JR",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),2,1982,S,2448.0
H8MS05047,"TAYLOR, GENE",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),1,2000,S,320.0
H8AZ01104,"KIRKPATRICK, ANN",C70003017,AMERICAN ASSOCIATION FOR JUSTICE,7,2008,S,42.0
H0NY16010,"SCHUMER, CHARLES E",C70002605,NATIONAL COMMITTEE TO PRESERVE SOCIAL SECURITY AND MEDICARE,1,1990,S,198.0
H8CA35032,"DREIER, DAVID T",C70000716,NATIONAL RIFLE ASSOCIATION (INSTITUTE FOR LEGISLATIVE ACTION),3,1982,S,2495.0
H4TX12065,"GOLDMAN, CRAIG",C70002563,NATIONAL ASSOCIATION OF REALTORS,4,2024,S,91523.85
H4NJ01084,"NORCROSS, DONALD W",C70000112,AFL-CIO ,2,2022,24F,220.0
H8NJ07223,"MALINOWSKI, TOM",C70000112,AFL-CIO ,5,2022,24F,2209.17
H8NJ03206,"KIM, ANDY",C70000112,AFL-CIO ,5,2022,24F,3034.53
H8NJ11142,"SHERRILL, MIKIE",C70000112,AFL-CIO ,4,2022,24F,1297.5
H8VA02111,"LURIA, ELAINE",C70000112,AFL-CIO ,23,2022,24F,2909.09
S2OH00402,"RYAN, TIMOTHY",C70000112,AFL-CIO ,174,2022,24F,121397.7
S2OH00436,"VANCE, J D",C70000112,AFL-CIO ,42,2022,24N,24691.87
S2WI00441,"BARNES, MANDELA",C70000112,AFL-CIO ,136,2022,24F,53909.08
