candidate_contributions_less_repayments,candidate_id,candidate_last_name,candidate_name,candidate_party_affiliation,cash_on_hand_end,committee_designation,committee_id,committee_name,committee_type,debts_owed_by_committee,disbursements_less_offsets,election_year,exempt_legal_accounting_disbursement,federal_funds,fundraising_disbursements,individual_contributions_less_refunds,net_receipts,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,pac_contributions_less_refunds,party_contributions_less_refunds,repayments_loans_made_by_candidate,repayments_other_loans,rounded_net_receipts,total_contribution_refunds,total_loan_repayments_made,transfers_from_affiliated_committees,transfers_to_other_authorized_committees
47053520.92,P00000003,Republicans,REPUBLICANS,REP,24656432.78,P,,,,6522200.04,558825420.51,2008,1158123.71,86702452.82,6840256.56,398948795.62,605762959.22,24762114.83,538305058.35,37289095.19,2527958.15,37817.25,52000.0,25083588.2,605.8,20165200.3,25135503.27,50641426.78,19444701.67
5657556.71,P00000003,Republicans,REPUBLICANS,REP,2321948.48,P,,,,8026024.34,595398085.9,2012,0.0,0.0,857535.83,437438628.9,598244626.24,11316119.25,605666295.26,190374.06,1678708.9,23137.5,420000.0,20000000.0,598.2,6647006.92,20420000.0,149992816.86,2659815.17
1450335.21,P00003392,Clinton,"CLINTON, HILLARY RODHAM",DEM,323317.48,P,C00575795,HILLARY FOR AMERICA,P,182.5,563433609.71,2016,0.0,0.0,0.0,399670199.71,563756927.19,15910190.88,579241675.78,102124.81,1785190.85,20039.3,0.0,0.0,563.8,6002480.76,0.0,160760000.0,0.0
7001461.82,P00000002,Democrats,DEMOCRATS,DEM,220018482.4,P,,,,1664938.24,276082140.81,2024,0.0,0.0,272580.0,240230982.44,494736206.45,4504572.41,280159048.22,155085.0,83572.45,2000.0,20000.0,0.0,494.7,2933346.69,20000.0,246474854.42,0.0
0.0,P00009423,Harris,"HARRIS, KAMALA",DEM,219717204.06,P,C00703975,HARRIS FOR PRESIDENT,P,0.0,262952491.17,2024,0.0,0.0,0.0,233801624.51,481305278.47,4465369.34,267264025.51,153835.0,83572.45,2000.0,0.0,0.0,481.3,2837597.59,0.0,246474854.42,0.0
56306493.18,P00000003,Republicans,REPUBLICANS,REP,172206549.21,P,,,,51444680.89,300294144.62,2024,0.0,0.0,363672.46,132024667.57,451457071.39,6239051.36,306081070.33,88453.19,525018.13,0.0,949562.67,0.0,451.5,8764840.03,949562.67,260638450.6,946961.87
0.0,P80003353,Romney,"ROMNEY, MITT",REP,383275.27,P,C00431171,"ROMNEY FOR PRESIDENT, INC.",P,825749.0,449059174.18,2012,0.0,0.0,0.0,300019783.47,449886512.55,9728627.32,458697502.58,90298.92,1092055.17,10137.5,0.0,20000000.0,449.9,3837192.07,20000000.0,146516071.0,444686.59
0.0,P80002801,McCain,"MCCAIN, JOHN S",REP,23540984.94,P,C00453928,MCCAIN-PALIN 2008 INC,P,1313560.41,309221274.38,2008,1158123.71,84103800.0,6816640.8,199426172.65,351511369.07,21706861.29,285683215.97,37270155.19,1414179.41,15997.25,0.0,20998577.2,351.5,7320332.79,20998577.2,47871997.94,15912254.28
341776336.3,P00012716,Steyer,"STEYER, TOM",DEM,87004.02,P,C00711614,TOM STEYER 2020,P,24000.0,345124952.38,2020,0.0,0.0,0.0,3435502.92,345211839.22,7546233.38,352088985.76,582200.0,0.0,0.0,0.0,0.0,345.2,283862.93,0.0,0.0,0.0
66141714.19,P80001571,Trump,"TRUMP, DONALD J.",REP,7611702.92,P,C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",P,0.0,325334387.67,2016,0.0,0.0,0.0,132232734.6,333127163.91,16141819.46,341296207.13,180000.0,144814.15,9303.25,0.0,0.0,333.1,1399452.33,0.0,134598597.72,181073.32
0.0,P80001571,Trump,"TRUMP, DONALD J.",REP,151340314.85,P,C00828541,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",P,15232.93,112740364.69,2024,0.0,0.0,0.0,18170210.66,264080679.54,4430169.08,117155928.77,14605.0,234988.95,0.0,0.0,0.0,264.1,1800.0,0.0,244283444.51,0.0
0.0,P60007168,Sanders,"SANDERS, BERNARD",DEM,5473008.32,P,C00577130,BERNIE 2016,P,449409.01,222709339.78,2016,0.0,0.0,0.0,226581901.39,228164500.68,4243002.21,226827144.16,125197.83,5621.92,0.0,0.0,0.0,228.2,5233106.63,0.0,1500000.0,0.0
